[0.0 ns] clk=1 | rst=Z | done=0 | inp_west0=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | inp_west4=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | inp_west8=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | inp_west12=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | inp_north0=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | inp_north1=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | inp_north2=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | inp_north3=ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ | result0=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result1=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result2=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result3=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result4=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result5=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result6=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result7=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result8=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result9=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result10=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result11=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result12=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result13=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result14=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | result15=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
[10.0 ns] clk=0 | rst=1 | done=0 | inp_west0=00000000000000000000000000000000 | inp_west4=00000000000000000000000000000000 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000000000 | inp_north1=00000000000000000000000000000000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=0000000000000000000000000000000000000000000000000000000000000000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[20.0 ns] clk=1 | rst=1 | done=0 | inp_west0=00000000000000000000000000000000 | inp_west4=00000000000000000000000000000000 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000000000 | inp_north1=00000000000000000000000000000000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=0000000000000000000000000000000000000000000000000000000000000000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[30.0 ns] clk=0 | rst=1 | done=0 | inp_west0=00000000000000000000000000000000 | inp_west4=00000000000000000000000000000000 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000000000 | inp_north1=00000000000000000000000000000000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=0000000000000000000000000000000000000000000000000000000000000000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[40.0 ns] clk=1 | rst=1 | done=0 | inp_west0=00000000000000000000000000000000 | inp_west4=00000000000000000000000000000000 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000000000 | inp_north1=00000000000000000000000000000000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=0000000000000000000000000000000000000000000000000000000000000000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[50.0 ns] clk=0 | rst=1 | done=0 | inp_west0=00000000000000000000000000000000 | inp_west4=00000000000000000000000000000000 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000000000 | inp_north1=00000000000000000000000000000000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=0000000000000000000000000000000000000000000000000000000000000000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[60.0 ns] clk=1 | rst=0 | done=0 | inp_west0=00000000000000000000000000001000 | inp_west4=00000000000000000000000000000000 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000001110 | inp_north1=00000000000000000000000000000000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=0000000000000000000000000000000000000000000000000000000000000000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[70.0 ns] clk=0 | rst=0 | done=0 | inp_west0=00000000000000000000000000001000 | inp_west4=00000000000000000000000000000000 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000001110 | inp_north1=00000000000000000000000000000000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=0000000000000000000000000000000000000000000000000000000000000000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[80.0 ns] clk=1 | rst=0 | done=0 | inp_west0=00000000000000000000000000001011 | inp_west4=00000000000000000000000000001001 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000001101 | inp_north1=00000000000000000000000000001000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=1111111111111111111111111111111111111111111111111111111110010000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[90.0 ns] clk=0 | rst=0 | done=0 | inp_west0=00000000000000000000000000001011 | inp_west4=00000000000000000000000000001001 | inp_west8=00000000000000000000000000000000 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000001101 | inp_north1=00000000000000000000000000001000 | inp_north2=00000000000000000000000000000000 | inp_north3=00000000000000000000000000000000 | result0=1111111111111111111111111111111111111111111111111111111110010000 | result1=0000000000000000000000000000000000000000000000000000000000000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=0000000000000000000000000000000000000000000000000000000000000000 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
[100.0 ns] clk=1 | rst=0 | done=0 | inp_west0=00000000000000000000000000001110 | inp_west4=00000000000000000000000000000111 | inp_west8=00000000000000000000000000001100 | inp_west12=00000000000000000000000000000000 | inp_north0=00000000000000000000000000001010 | inp_north1=00000000000000000000000000000100 | inp_north2=00000000000000000000000000000111 | inp_north3=00000000000000000000000000000000 | result0=1111111111111111111111111111111111111111111111111111111100000001 | result1=1111111111111111111111111111111111111111111111111111111111000000 | result2=0000000000000000000000000000000000000000000000000000000000000000 | result3=0000000000000000000000000000000000000000000000000000000000000000 | result4=1111111111111111111111111111111111111111111111111111111110000010 | result5=0000000000000000000000000000000000000000000000000000000000000000 | result6=0000000000000000000000000000000000000000000000000000000000000000 | result7=0000000000000000000000000000000000000000000000000000000000000000 | result8=0000000000000000000000000000000000000000000000000000000000000000 | result9=0000000000000000000000000000000000000000000000000000000000000000 | result10=0000000000000000000000000000000000000000000000000000000000000000 | result11=0000000000000000000000000000000000000000000000000000000000000000 | result12=0000000000000000000000000000000000000000000000000000000000000000 | result13=0000000000000000000000000000000000000000000000000000000000000000 | result14=0000000000000000000000000000000000000000000000000000000000000000 | result15=0000000000000000000000000000000000000000000000000000000000000000
